District ID,District Name,School ID,School Name,School Year,Number of Students Tested,Standard CMT Score Summary Average Scale Score,Standard CMT Score Summary Percent at above Goal level,Standard CMT Score Summary Percent at above Proficient level
67,Hebron School District,1,Hebron Elementary School,2008-09,161,291.5,93.8,99.4
286,Highville Charter School District,1,Highville Charter School,2008-09,,,,
264,Integrated Day Charter School District,1,Integrated Day Charter School,2008-09,33,251.5,57.6,84.8
265,Interdistrict School for Arts and Comm District,51,Interdistrict School For Arts And Communication,2008-09,60,241.8,36.7,80
261,Jumoke Academy District,1,Jumoke Academy,2008-09,37,258,62.2,86.5
68,Kent School District,1,Kent Center School,2008-09,26,286,92.3,96.2
69,Killingly School District,52,Killingly Intermediate School,2008-09,179,260.9,68.2,93.3
71,Lebanon School District,51,Lebanon Middle School,2008-09,96,265.1,70.8,90.6
72,Ledyard School District,4,Gallup Hill School,2008-09,42,287.9,85.7,97.6
72,Ledyard School District,3,Juliet W. Long School,2008-09,96,284.4,88.5,96.9
72,Ledyard School District,1,Ledyard Center School,2008-09,71,267.4,66.2,94.4
73,Lisbon School District,1,Lisbon Central School,2008-09,66,251.7,60.6,86.4
74,Litchfield School District,3,Litchfield Intermediate School,2008-09,82,285.2,86.6,93.9
76,Madison School District,6,Dr. Robert H. Brown Middle School,2008-09,286,293.5,94.8,99.3
77,Manchester School District,17,Elisabeth M. Bennet Academy,2008-09,447,250.7,56.8,80.3
78,Mansfield School District,51,Mansfield Middle School School,2008-09,141,275.9,80.1,92.2
79,Marlborough School District,1,Elmer Thienes-Mary Hall Elementary School,2008-09,91,290.2,89,98.9
80,Meriden School District,52,Lincoln Middle School,2008-09,211,241,47.9,74.9
80,Meriden School District,54,Washington Middle School,2008-09,313,237.8,45,67.7
83,Middletown School District,15,Keigwin Middle School,2008-09,362,252,59.7,80.7
84,Milford School District,51,East Shore Middle School,2008-09,191,274,77.5,94.8
84,Milford School District,52,Harborside Middle School,2008-09,192,277.3,83.3,93.8
84,Milford School District,53,West Shore Middle School,2008-09,181,266.7,72.9,92.8
85,Monroe School District,6,Chalk Hill School,2008-09,318,281.9,88.4,97.5
86,Montville School District,51,Leonard J. Tyl Middle School,2008-09,204,267.9,73,93.1
88,Naugatuck School District,2,Cross Street Intermediate School,2008-09,193,258.2,65.8,86
88,Naugatuck School District,4,Hillside Intermediate School,2008-09,164,256.4,61,84.8
280,"New Beginnings Inc., Family Academy District",1,"New Beginnings Inc., Family Academy",2008-09,35,230.8,34.3,80
89,New Britain School District,11,Diloreto Magnet School,2008-09,72,212.5,15.3,51.4
